Id,Figura,Base,Descripcion,Image,Video,Contributor
0d085da7462617088ed2e9e92d3dcba2,Tijera a balanceos,Tijera,,,,Fer Medina
48d59048b619571b10b3fd2e141d57c4,Regresada sencilla de arnés,Arnes,,,,Fer Medina
cb2e78da653d489cad6d43cb37fd37ef,Péndulo,Arnes,,,,Fer Medina
527d60cd4715db174ad56cda34ab2dce,Superman,Arnes,,,,Fer Medina
765fa59a461e443f470bdebe86e007dc,Tic-tac,Arnes,,,,Fer Medina
1ea39cff706a2461e07b47c5140a0346,Caída de Cristo,Arnes,,,,Fer Medina
47c02895aa1c46770734a78085add481,Caída de mariposa,Arnes,,,,Fer Medina
a564470cefeb19e4c60bdbe1db316782,Diamante,Arnes,,,,Fer Medina
f76838397b549c214b9733df721473a3,Vayven,Arnes,,,,Fer Medina
dbf69bd3cdb2478be5be9eac77d20aca,Cuadrado (secuencia),Arnes,,,,Fer Medina
696fc729893f63ac60ff3342eb53d888,Saca calzón,Arnes,,,,Fer Medina
66e85a09d1fe4ec785612a93e766bcd4,Doble péndulo,Arnes,,,,Fer Medina
97bd82bae3c35973b80794e1178bfb9f,Arco caída a arnés,Arnes,,,,Fer Medina
35f3d68ead361c6cdfcea79d068d1d7b,Arnés con cambio de corva (secuencia),Arnes,,,,Fer Medina
246bcd13f89c7c4dd7a896860f1f95ac,Cuadruple,Arnes,,,,Fer Medina
d2428718adee5c9eebf2b5821ba83408,Cohete,Sapo,,,,Fer Medina
e6ab243fce49497155e19ed4efc2718f,Sapo-pajarito,Sapo,,,,Fer Medina
311e9247e8b4bd53fdb0132603ef4c0e,Candy cane,Sapo,,,,Fer Medina
54c5e6af5ffdb02a737f74c20641f628,Sapo split,Sapo,,,,Fer Medina
6f2e5eca5924fdf5300717d765480429,"Estrella (simple, cohete, pajarito, doble)",Sapo,,,,Fer Medina
2fc4b219051efdfefbba6e874e1e5faf,Estrella sin manos,Sapo,,,,Fer Medina
bfa1365a6e89c52b2ad90b47a18f8591,Estrella sin bloqueo,Sapo,,,,Fer Medina
ed1c34ed7a6d03eb7c6d65f0eee8e151,Caída de tornado,Sapo,,,,Fer Medina
0c9f04fbc81852a44b664697291f2d79,Caída de las Aguilar,Sapo,,,,Fer Medina
1aaea35554ff5a986f4f17b70e7d4990,One arm balance,Sapo,,,,Fer Medina
09e3ae66569ecaa9d8ae8691639c7546,Giro de sapo tijera (pirueta),Sapo,,,,Fer Medina
922e815a6f960d6cadcc827cc4bdad3d,Gotita split,Sapo,,,,Fer Medina
08debbb9669e066a8bb9ee2bfe793785,Tic toc sapo por salida de tijera,Sapo,,,,Fer Medina
dd84b924a81c55b5378fdfbc84e24178,Gotita,Sapo,,,,Fer Medina
8a9e64d86ed12ad40de129bc7f4683b2,Split,Cristo,,,,Fer Medina
703dbc0eaee94438a7773cbf7129c0d0,Bajada en caminata,Cristo,,,,Fer Medina
04c1950d5b20cb250cc69621f5a727ad,Gotita arnés,Cristo,,,,Fer Medina
0eb8f549705de3f08627876154343556,De ensamble o rusa,Subidas,,,,Fer Medina
6727bb6c1f614b77b38510bf186b8b4b,Italiana o americana,Subidas,,,,Fer Medina
c2adce399abf797ddde27d159baefe2d,Por cou de pied,Subidas,,,,Fer Medina
077e45193743fc222b65a4b52dfcb8b9,Con torsión,Subidas,,,,Fer Medina
f4707bbbce3e0b1c393809f5339a69f2,Con rodada al frente,Subidas,,,,Fer Medina
6bf89ce37258c1451209d4b42596d18d,Por corvas (Cristo),Subidas,,,,Fer Medina
a105c6a803d5273dee4bb683f8a647e0,Corvas con las telas separadas,Subidas,,,,Fer Medina
5cb57ca2e092b737cc408e5650b28c28,De dedos,Subidas,,,,Fer Medina
11e881992af6b01a0f8eb6a34b09007f,De spiderman,Subidas,,,,Fer Medina
4cebad98a63c1e3afe82a6a51c4b3e07,De brazo,Subidas,,,,Fer Medina
51a7f8bac16fb514329e08a6043edc81,De tijera,Subidas,,,,Fer Medina
97d906e04e951d955f5d05cca73539bb,Roll ups,Subidas,,,,Fer Medina
f3e0a1bcc91b719c59b15a52ca52b4cc,Backhook,Subidas,,,,Fer Medina
ddff3974869e21f543b730dd72c7b00f,De ladrón,Subidas,,,,Fer Medina
04aa596e0421344f95c4dabb165d9053,"Cristo (caminata, caída)",Extras,,,,Fer Medina
67fe298a850985731a5620ce2fe07f14,Muros,Extras,,,,Fer Medina
5a99667702d32983a56652c4c20552a7,Split de estribos (caída),Extras,,,,Fer Medina
8fc8b7fa6790ca53e8297572528acbd7,Caída a bloqueo de muñecas(sencilla y variación de espartana),Extras,,,,Fer Medina
08bff14bfba5dc0ad1c995deed8e204d,Suspensión en estribo (figura),Extras,,,,Fer Medina
2e6c3113d83290869df70d0363fbe512,Handstand (cocodrilo),Extras,,,,Fer Medina
f235849bc607bf65507cac6a03894425,Meathook y backhook,Extras,,,,Fer Medina
ca8e663230b1a5153671f3c8353aa09c,Back y front lever,Extras,,,,Fer Medina
b902342a7bbce53fcfee795a228d9056,"Equilibrio (Punta flex: split, squat)",Extras,,,,Fer Medina
1af9ce86413410bab7daa0fb9101a311,"Equilibrio (backhook, frontal)",Extras,,,,Fer Medina
8964cb59c157b026f19f7c758f2f5ce1,Entrada a estribo de espartana desde back lever,Extras,,,,Fer Medina
b5f633a28a6f08effae0625a9b0dc454,Entrada a estribo por Cue de pied,Extras,,,,Fer Medina
8f62802fcef2f5393c41661809809743,Entrada mágica a estribo por rodilla,Extras,,,,Fer Medina
bf6fa931dc4bb02ec8d56eec266e06bd,Cabalgata,Extras,,,,Fer Medina
1056b57c7224b895d3439323e068af86,"Caída de flecha de lado, variación",Extras,,,,Fer Medina
cc8c97a6b4d75d6d486ca287dff5f531,Cristo gotita a arnés,Extras,,,,Fer Medina
bc4542c73d78c4ad5ea1ee414ed9cffc,Caída a 4ta plancha sapo,Extras,,,,Fer Medina
b33769d9c22e21a54880140e5f909d06,Candy cane cristo gotita,Extras,,,,Fer Medina
4b75d63deca3a33668d27927f0312019,Media luna,Extras,,,,Fer Medina
e7cfcf2f67037005637b8ba4ab111d61,Rodada al frente,Extras,,,,Fer Medina
83253215ebe7f7826d0b654a8246bcd4,Nudo con los pies,Extras,,,,Fer Medina
